1,83
2,30
3,209
4,199
5,217
6,78
7,156
8,104
9,277
10,96
11,198
12,24
13,250
14,50
15,35
16,45
17,272
18,69
19,222
20,5
21,10
22,84
23,202
24,95
25,23
26,108
27,122
28,94
29,193
30,284
31,68
32,73
33,9
34,136
35,89
36,48
37,25
38,106
39,4
40,208
41,27
42,76
43,92
44,31
45,37
46,52
47,235
48,65
49,238
50,234
51,216
52,171
53,44
54,36
55,99
56,170
57,16
58,125
59,54
60,224
61,174
62,204
63,236
64,176
65,225
66,80
67,201
68,288
69,111
70,267
71,43
72,151
73,28
74,165
75,160
76,91
77,227
78,126
79,195
80,61
81,17
82,148
83,184
84,143
85,248
86,183
87,112
88,59
89,218
90,298
91,187
92,64
93,7
94,163
95,256
96,276
97,144
98,127
99,179
100,275
101,77
102,145
103,38
104,169
105,93
106,29
107,233
108,147
109,116
110,102
111,291
112,11
113,2
114,269
115,159
116,239
117,186
118,124
119,188
120,157
121,119
122,39
123,260
124,158
125,295
126,273
127,75
128,149
129,146
130,196
131,153
132,137
133,247
134,280
135,264
136,293
137,67
138,191
139,63
140,228
141,26
142,152
143,98
144,71
145,118
146,262
147,8
148,194
149,49
150,42
151,261
152,265
153,20
154,150
155,253
156,172
157,128
158,173
159,85
160,79
161,131
162,206
163,281
164,70
165,278
166,13
167,58
168,285
169,1
170,244
171,192
172,180
173,282
174,266
175,100
176,72
177,141
178,154
179,271
180,189
181,107
182,3
183,21
184,214
185,287
186,243
187,249
188,101
189,296
190,105
191,32
192,123
193,242
194,164
195,251
196,294
197,19
198,55
199,290
200,215
201,133
202,57
203,268
204,109
205,279
206,245
207,82
208,162
209,33
210,110
211,53
212,161
213,134
214,86
215,56
216,114
217,259
218,246
219,258
220,166
221,51
222,283
223,205
224,237
225,66
226,255
227,231
228,226
229,97
230,12
231,155
232,90
233,74
234,117
235,14
236,46
237,115
238,34
239,220
240,40
241,190
242,263
243,203
244,270
245,297
246,129
247,219
248,167
249,177
250,213
251,200
252,47
253,60
254,120
255,229
256,286
257,197
258,254
259,178
260,292
261,221
262,139
263,223
264,88
265,289
266,168
267,130
268,210
269,181
270,182
271,62
272,211
273,135
274,87
275,41
276,22
277,274
278,138
279,212
280,113
281,241
282,240
283,175
284,140
285,103
286,257
287,142
288,81
289,230
290,6
291,121
292,185
293,207
294,132
295,232
296,252
297,18
298,15
